County Name,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2
Cambria,,,,0.000488,0.0016,0.04125,0.01275,0.001,,0.0456,0.0389,0.00693,0.01099,0.0849,0.0108,,0.00081,0.0018,0.00055,0.05,0.00316,
Cameron,,,,,,,,,,,,,,,,,,,,,,
Carbon,0.00037,0.0024,0.00394,0.00572,0.73733,0.02409,0.01024,0.000455,0.141994,0.11137,0.04737,0.07818,0.4928,0.24588,0.28309,0.0115,0.02578,0.00818,0.0075,0.00875,0.08074,0.00496
Centre,0.04551,0.002691,0.08971,0.005485,0.093129,0.02959,0.00707,0.00211,0.03921,0.0043,0.102,0.02655,,0.003,1.18216,0.0053,0.0383,1.00701,0.00833,0.002,0.00865,0.00045
Chester,0.09236,0.024409,0.080435,0.109855,0.266138,0.069444,0.018121,0.03025,0.13822,0.21904,0.10304,0.031072,0.01948,0.832,0.1098,8.207242,0.007556,0.015183,0.11786,0.042086,0.01555,0.02193
Clarion,0.0016,,0.001,0.00185,0.00014,,,,,0.008,0.00075,0.0607,0.001,0.0051,0.008,0.0085,0.003,,0.001,0.001,0.001783,
Clearfield,,0.0005,0.00028,0.0025,0.0008,0.002,0.00804,,0.00153,,,0.00029,0.003,,,,0.00081,0.0001,0.001,0.00026,0.0001,0.0005
Clinton,0.0005,,,0.0082,0.04871,,,,,,,0.00021,,,,,0.001,0.000012,,,,0.0008
Columbia,0.0005,,,0.0082,0.04871,,,,,,,0.00021,,,,,0.001,0.000012,,,,0.0008
Crawford,0.0016,0.00073,0.000501,0.0077,0.0052,0.0026,0.0007,,0.00574,0.03353,0.0046,0.0003,0.0005,0.0015,0.00313,0.05215,0.2141,0.002,0.00013,0.00098,0.001,0.00302
Cumberland,1.001663,0.007363,0.000513,0.01004,1.854728,0.5063,0.02778,0.00209,0.00451,1.06422,0.1245,0.01666,0.025793,0.04783,0.025891,0.014548,0.0075,0.01757,0.076645,0.0142,0.3231,0.051171
Dauphin,0.0438,0.00133,2.03525,0.01275,0.09458,0.241265,10.08903,0.09258,3.80294,0.16699,0.81715,0.95337,0.07762,0.23595,1.748878,0.01935,0.13932,0.02376,0.84737,5.59415,0.182433,0.05634
Delaware,0.25955,0.00869,0.014385,5.0116,0.01683,3.17886,0.26145,0.00659,0.11578,0.00979,0.00719,0.02749,0.17615,0.01278,1.53193,0.02966,0.04037,0.021612,0.02849,0.049585,0.204634,0.06084
Elk,,0.0002,,,,,,,,,,,,0.001,,,,,,,,
Erie,0.0626,0.0018,0.03219,0.0028,0.01014,0.0099,0.00426,0.00332,0.0662,0.0307,0.00878,0.01667,0.016,0.01805,0.082183,0.04234,0.015481,0.0145,0.0102,0.027225,0.0072,0.21175
Fayette,0.019466,0.017866,0.11174,0.00311,0.02355,0.00447,0.14575,0.058831,0.02807,1.143493,0.027435,0.106065,0.025596,0.01399,0.042076,0.01621,0.05059,0.09211,0.13093,0.023935,0.27696,0.01529
Forest,,,,,,,0.00435,0.0029,,0.2547,,,0.001,,0.0004,,,,,,,
Franklin,,0.004,0.00875,0.002,0.00103,0.00002,,0.00206,,0.004,0.00306,0.003,0.0303,0.00435,0.00165,0.00825,0.002,0.0005,,,0.0001,
Fulton,,0.004,0.00875,0.002,0.00103,0.00002,,0.00206,,0.004,0.00306,0.003,0.0303,0.00435,0.00165,0.00825,0.002,0.0005,,,0.0001,
Greene,0.00126,0.02676,0.00009,,0.00018,0.002,,0.0003,0.00009,0.0286,0.00108,,,,0.0003,,,,,0.00025,,
Huntingdon,0.02521,,,,0.00208,0.00067,0.0069,0.00404,0.0095,0.00834,0.016816,0.00265,0.00978,0.00568,0.0001,0.00078,0.00458,0.02228,0.04442,0.01875,0.0015,0.0085
Indiana,0.00842,0.0152,0.01121,0.00296,0.00743,0.049415,0.004196,0.002801,1.05976,0.02275,5.479149,0.074725,0.008235,0.01688,0.02666,0.01195,0.04181,0.0208,0.01797,0.022111,0.00051,0.03665
Jefferson,0.00596,0.00632,0.00784,0.00316,0.00192,0.00057,0.00031,0.000675,0.01084,0.00348,0.01046,,0.001175,0.00258,,,0.00143,0.0014,0.0014,0.01,,0.0005
Juniata,0.0003,,0.001,0.004,0.00084,0.02,,0.0003,0.00306,,0.00021,,0.002,,,0.00215,,0.001,0.00118,0.002,0.002,0.0031
Lackawanna,0.0026,0.00737,0.05774,0.01654,,0.00411,0.00681,0.0016,0.00463,0.004506,0.0545,0.0055,0.682,,0.0036,0.00001,0.03125,0.009,0.0035,,,0.09009
Lancaster,0.5021,0.69585,0.1891,0.04383,0.03018,0.00546,3.44429,10.3433,0.03906,0.009572,0.03033,0.0053,0.00792,0.0692,0.033051,0.0326,0.02737,0.02521,0.004361,1.00149,0.02678,0.061773
Lawrence,0.00636,,,,,,0.006,,,0.0563,0.002,0.132,0.0941,,0.00006,0.00025,0.001,0.00086,,,0.283,
Lebanon,0.016243,0.02966,0.03868,0.00434,1.01381,0.099,13.0036,0.12031,0.02798,0.34169,1.0196,0.02787,0.04661,0.0826,0.0206,0.0369,0.063,1.0443,0.00856,0.06528,0.48051,0.10569
Lehigh,0.016243,0.02966,0.03868,0.00434,1.01381,0.099,13.0036,0.12031,0.02798,0.34169,1.0196,0.02787,0.04661,0.0826,0.0206,0.0369,0.063,1.0443,0.00856,0.06528,0.48051,0.10569
Luzerne,0.08033,0.25531,0.12968,1.15678,0.1184,1.3178,3.053221,0.770521,0.10559,0.087375,0.139,0.342801,0.188423,0.162927,0.0822,1.88523,5.275075,0.41547,0.34023,1.07817,5.49749,0.14608
Lycoming,0.030693,0.103285,0.319996,0.009411,0.05513,0.042442,0.01068,0.007131,0.00951,0.127515,0.02414,0.014192,0.276145,0.0241,0.034182,0.0651,0.008759,0.03642,0.01285,0.01131,0.00279,0.016513
McKean,,,0.002,,,,,,,,,,,,,,,,,,,
Mercer,,0.001,0.0051,0.0035,0.017,0.004,0.70023,0.00315,0.4975,,,,4.0023,0.04695,0.0106,0.0013,0.01255,0.04367,0.01406,0.016,0.001,0.012
Mifflin,0.00024,,,0.00553,0.00018,0.00366,0.0045,0.01321,0.000031,0.00015,,0.00025,0.0032,0.00759,,0.00019,0.00118,,0.0015,,,0.0028
Monroe,0.092,0.52095,0.32975,6.427373,2.257428,0.36783,17.122873,0.19021,0.20904,0.33567,0.34174,0.12951,0.17491,0.15232,0.026702,0.666131,0.186316,0.053296,0.14669,0.09451,0.06824,0.496155
Montgomery,0.00066,0.04421,0.0623,0.208,0.01826,0.0078,0.0652,0.00302,0.05413,0.02693,0.032,0.01774,3.03199,0.06334,0.18824,0.0254,0.03684,0.015432,0.07818,0.09533,0.03337,0.013762
Montour,,,,,0.0002,0.003,,,,0.0016,0.00006,,,,,0.00001,0.02025,0.0005,0.0039,,0.0285,
Northampton,0.023,,0.2003,0.00025,0.01612,0.00198,0.00057,,0.00006,0.00018,,0.00018,0.0141,0.018496,0.0096,0.0145,0.004331,0.001,0.10604,0.0018,0.00561,0.009611
Northumberland,0.023,,0.2003,0.00025,0.01612,0.00198,0.00057,,0.00006,0.00018,,0.00018,0.0141,0.018496,0.0096,0.0145,0.004331,0.001,0.10604,0.0018,0.00561,0.009611
Out of State,,,,,,,,,,,,3,,,0.1,,,,,,,
Perry,0.0023,0.028783,,0.005,0.0069,0.003383,0.0013,0.5023,,0.0005,0.00327,0.0019,1.4843,0.05992,0.036,0.07099,0.0073,0.003,0.00301,0.011,0.0014,0.0035
Philadelphia,0.217,0.00136,0.020808,0.0509,1.413741,1.428101,0.21597,0.18491,0.44119,2.208425,0.619053,0.033343,0.522449,1.315633,4.53705,1.53126,13.19741,2.0029,16.53671,0.096767,4.943441,0.594977
Pike,0.00009,,0.011771,0.004411,0.01334,0.022,0.03235,0.0009,0.01046,2.7808,0.026821,0.043581,0.0076,0.00713,0.00536,0.0014,0.008075,0.00133,0.01,0.0101,0.0097,0.07336
Potter,,,0.001001,,,,0.001,,,,0.095,0.00501,,0.01,0.0011,0.0012,,,,,,
Schuylkill,0.00082,0.00183,,0.0006,0.02092,0.03554,0.0464,0.0641,0.111551,0.04536,0.05502,0.0276,0.02871,0.08905,0.0065,0.0273,0.008063,0.000588,0.00471,0.0531,0.0318,0.0481
Snyder,,0.0009,0.01024,,0.00003,0.000606,,,,,,0.000001,0.000063,0.003,0.007,0.01903,0.002843,0.018,0.001063,0.00128,,0.0278
Somerset,0.1405,2.014,0.20601,0.2151,8.09001,0.71,1.11052,0.001,1.905,0.05875,0.05661,1.503,0.70925,0.00205,0.25503,0.00232,0.34967,0.0001,0.00716,0.005553,1.135,0.012
Susquehanna,0.001063,0.0058,,0.00124,0.00117,0.001,0.00003,0.00069,0.000301,,0.00024,,0.001,0.0006,0.0283,,0.0005,0.001,0.00003,,0.0015,0.0023
Tioga,0.001063,0.0058,,0.00124,0.00117,0.001,0.00003,0.00069,0.000301,,0.00024,,0.001,0.0006,0.0283,,0.0005,0.001,0.00003,,0.0015,0.0023
Union,0.00006,0.003,0.003,0.002,0.001,0.005,,,,,,,,0.004,,,,,0.001,0.001,0.0002,0.002
Venango,,0.002,0.0016,0.00203,,0.0024,0.0009,,0.008,0.0055,0.003,0.3436,0.006,,0.0002,,0.001,,0.0001,,0.502,
Warren,,,,0.0008,0.00016,,,,,,,0.003,0.0033,,,,,,,,,
Washington,0.146566,0.009933,0.00165,0.06478,0.285893,0.041245,0.31384,0.00865,0.168823,0.01855,0.15213,0.033961,0.11141,0.044701,0.03265,0.026526,0.07226,0.07534,0.01168,0.00391,0.0099,0.00451
Wayne,0.001,0.005,0.01,0.020477,0.00155,0.011,0.015,0.005,0.000591,0.002,0.00011,0.0033,0.001501,0.00006,0.00325,0.005501,0.007002,0.000801,0.013111,0.00415,0.00344,0.460111
Westmoreland,0.05792,0.08537,0.01371,0.006233,0.163901,0.00947,0.026361,0.03045,0.02835,0.593257,12.05017,0.070999,0.124583,0.116161,1.077431,0.019071,0.075531,0.287066,0.409782,0.044064,0.81005,8.026901
Wyoming,,0.00025,0.001,0.00051,0.00153,0.0023,0.00024,0.00201,0.03006,,0.00047,0.00106,0.043201,0.00859,0.00004,0.0072,0.00015,0.002,,0.002,0.0586,0.1303
York,0.31136,0.0232,0.00792,0.07407,0.11801,0.04683,0.12012,0.081073,0.11179,0.05155,0.05481,0.019511,0.034272,0.12009,0.06485,2.0935,14.03122,0.05568,0.0302,0.0697,0.024,0.01322
