GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Population 15 to 19 years
HC01_MOE_VC01,Total; Margin of Error; Population 15 to 19 years
HC02_EST_VC01,"White alone, not Hispanic or Latino; Estimate; Population 15 to 19 years"
HC02_MOE_VC01,"White alone, not Hispanic or Latino; Margin of Error; Population 15 to 19 years"
HC03_EST_VC01,Black or African American; Estimate; Population 15 to 19 years
HC03_MOE_VC01,Black or African American; Margin of Error; Population 15 to 19 years
HC04_EST_VC01,Hispanic or Latino origin (of any race); Estimate; Population 15 to 19 years
HC04_MOE_VC01,Hispanic or Latino origin (of any race); Margin of Error; Population 15 to 19 years
HC01_EST_VC03,Total; Estimate; SCHOOL ENROLLMENT - Enrolled in school
HC01_MOE_VC03,Total; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school
HC02_EST_VC03,"White alone, not Hispanic or Latino; Estimate; SCHOOL ENROLLMENT - Enrolled in school"
HC02_MOE_VC03,"White alone, not Hispanic or Latino; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school"
HC03_EST_VC03,Black or African American; Estimate; SCHOOL ENROLLMENT - Enrolled in school
HC03_MOE_VC03,Black or African American; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school
HC04_EST_VC03,Hispanic or Latino origin (of any race); Estimate; SCHOOL ENROLLMENT - Enrolled in school
HC04_MOE_VC03,Hispanic or Latino origin (of any race); Margin of Error; SCHOOL ENROLLMENT - Enrolled in school
HC01_EST_VC04,Total; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Public
HC01_MOE_VC04,Total; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Public
HC02_EST_VC04,"White alone, not Hispanic or Latino; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Public"
HC02_MOE_VC04,"White alone, not Hispanic or Latino; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Public"
HC03_EST_VC04,Black or African American; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Public
HC03_MOE_VC04,Black or African American; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Public
HC04_EST_VC04,Hispanic or Latino origin (of any race); Estimate; SCHOOL ENROLLMENT - Enrolled in school - Public
HC04_MOE_VC04,Hispanic or Latino origin (of any race); Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Public
HC01_EST_VC05,Total; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Private
HC01_MOE_VC05,Total; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Private
HC02_EST_VC05,"White alone, not Hispanic or Latino; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Private"
HC02_MOE_VC05,"White alone, not Hispanic or Latino; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Private"
HC03_EST_VC05,Black or African American; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Private
HC03_MOE_VC05,Black or African American; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Private
HC04_EST_VC05,Hispanic or Latino origin (of any race); Estimate; SCHOOL ENROLLMENT - Enrolled in school - Private
HC04_MOE_VC05,Hispanic or Latino origin (of any race); Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Private
HC01_EST_VC06,Total; Estimate; SCHOOL ENROLLMENT - Not enrolled in school
HC01_MOE_VC06,Total; Margin of Error; SCHOOL ENROLLMENT - Not enrolled in school
HC02_EST_VC06,"White alone, not Hispanic or Latino; Estimate; SCHOOL ENROLLMENT - Not enrolled in school"
HC02_MOE_VC06,"White alone, not Hispanic or Latino; Margin of Error; SCHOOL ENROLLMENT - Not enrolled in school"
HC03_EST_VC06,Black or African American; Estimate; SCHOOL ENROLLMENT - Not enrolled in school
HC03_MOE_VC06,Black or African American; Margin of Error; SCHOOL ENROLLMENT - Not enrolled in school
HC04_EST_VC06,Hispanic or Latino origin (of any race); Estimate; SCHOOL ENROLLMENT - Not enrolled in school
HC04_MOE_VC06,Hispanic or Latino origin (of any race); Margin of Error; SCHOOL ENROLLMENT - Not enrolled in school
HC01_EST_VC09,Total; Estimate; MARITAL STATUS AND FERTILITY - Male
HC01_MOE_VC09,Total; Margin of Error; MARITAL STATUS AND FERTILITY - Male
HC02_EST_VC09,"White alone, not Hispanic or Latino; Estimate; MARITAL STATUS AND FERTILITY - Male"
HC02_MOE_VC09,"White alone, not Hispanic or Latino; Margin of Error; MARITAL STATUS AND FERTILITY - Male"
HC03_EST_VC09,Black or African American; Estimate; MARITAL STATUS AND FERTILITY - Male
HC03_MOE_VC09,Black or African American; Margin of Error; MARITAL STATUS AND FERTILITY - Male
HC04_EST_VC09,Hispanic or Latino origin (of any race); Estimate; MARITAL STATUS AND FERTILITY - Male
HC04_MOE_VC09,Hispanic or Latino origin (of any race); Margin of Error; MARITAL STATUS AND FERTILITY - Male
HC01_EST_VC10,Total; Estimate; MARITAL STATUS AND FERTILITY - Male - Ever married
HC01_MOE_VC10,Total; Margin of Error; MARITAL STATUS AND FERTILITY - Male - Ever married
HC02_EST_VC10,"White alone, not Hispanic or Latino; Estimate; MARITAL STATUS AND FERTILITY - Male - Ever married"
HC02_MOE_VC10,"White alone, not Hispanic or Latino; Margin of Error; MARITAL STATUS AND FERTILITY - Male - Ever married"
HC03_EST_VC10,Black or African American; Estimate; MARITAL STATUS AND FERTILITY - Male - Ever married
HC03_MOE_VC10,Black or African American; Margin of Error; MARITAL STATUS AND FERTILITY - Male - Ever married
HC04_EST_VC10,Hispanic or Latino origin (of any race); Estimate; MARITAL STATUS AND FERTILITY - Male - Ever married
HC04_MOE_VC10,Hispanic or Latino origin (of any race); Margin of Error; MARITAL STATUS AND FERTILITY - Male - Ever married
HC01_EST_VC11,Total; Estimate; MARITAL STATUS AND FERTILITY - Female
HC01_MOE_VC11,Total; Margin of Error; MARITAL STATUS AND FERTILITY - Female
HC02_EST_VC11,"White alone, not Hispanic or Latino; Estimate; MARITAL STATUS AND FERTILITY - Female"
HC02_MOE_VC11,"White alone, not Hispanic or Latino; Margin of Error; MARITAL STATUS AND FERTILITY - Female"
HC03_EST_VC11,Black or African American; Estimate; MARITAL STATUS AND FERTILITY - Female
HC03_MOE_VC11,Black or African American; Margin of Error; MARITAL STATUS AND FERTILITY - Female
HC04_EST_VC11,Hispanic or Latino origin (of any race); Estimate; MARITAL STATUS AND FERTILITY - Female
HC04_MOE_VC11,Hispanic or Latino origin (of any race); Margin of Error; MARITAL STATUS AND FERTILITY - Female
HC01_EST_VC12,Total; Estimate; MARITAL STATUS AND FERTILITY - Female - Ever married
HC01_MOE_VC12,Total; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Ever married
HC02_EST_VC12,"White alone, not Hispanic or Latino; Estimate; MARITAL STATUS AND FERTILITY - Female - Ever married"
HC02_MOE_VC12,"White alone, not Hispanic or Latino; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Ever married"
HC03_EST_VC12,Black or African American; Estimate; MARITAL STATUS AND FERTILITY - Female - Ever married
HC03_MOE_VC12,Black or African American; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Ever married
HC04_EST_VC12,Hispanic or Latino origin (of any race); Estimate; MARITAL STATUS AND FERTILITY - Female - Ever married
HC04_MOE_VC12,Hispanic or Latino origin (of any race); Margin of Error; MARITAL STATUS AND FERTILITY - Female - Ever married
HC01_EST_VC13,Total; Estimate; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months
HC01_MOE_VC13,Total; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months
HC02_EST_VC13,"White alone, not Hispanic or Latino; Estimate; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months"
HC02_MOE_VC13,"White alone, not Hispanic or Latino; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months"
HC03_EST_VC13,Black or African American; Estimate; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months
HC03_MOE_VC13,Black or African American; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months
HC04_EST_VC13,Hispanic or Latino origin (of any race); Estimate; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months
HC04_MOE_VC13,Hispanic or Latino origin (of any race); Margin of Error; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months
HC01_EST_VC17,Total; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households
HC01_MOE_VC17,Total; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households
HC02_EST_VC17,"White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households"
HC02_MOE_VC17,"White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households"
HC03_EST_VC17,Black or African American; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households
HC03_MOE_VC17,Black or African American; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households
HC04_EST_VC17,Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households
HC04_MOE_VC17,Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households
HC01_EST_VC18,Total; Estimate; HOUSEHOLD TYPE - In married-couple family households
HC01_MOE_VC18,Total; Margin of Error; HOUSEHOLD TYPE - In married-couple family households
HC02_EST_VC18,"White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - In married-couple family households"
HC02_MOE_VC18,"White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - In married-couple family households"
HC03_EST_VC18,Black or African American; Estimate; HOUSEHOLD TYPE - In married-couple family households
HC03_MOE_VC18,Black or African American; Margin of Error; HOUSEHOLD TYPE - In married-couple family households
HC04_EST_VC18,Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - In married-couple family households
HC04_MOE_VC18,Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - In married-couple family households
HC01_EST_VC19,"Total; Estimate; HOUSEHOLD TYPE - In male householder, no wife present, family households"
HC01_MOE_VC19,"Total; Margin of Error; HOUSEHOLD TYPE - In male householder, no wife present, family households"
HC02_EST_VC19,"White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - In male householder, no wife present, family households"
