GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Grandchildren under 18 years living with a grandparent householder
HC01_MOE_VC01,Total; Margin of Error; Grandchildren under 18 years living with a grandparent householder
HC02_EST_VC01,With grandparent responsible  - Total; Estimate; Grandchildren under 18 years living with a grandparent householder
HC02_MOE_VC01,With grandparent responsible  - Total; Margin of Error; Grandchildren under 18 years living with a grandparent householder
HC03_EST_VC01,With grandparent responsible  - Grandchildren with no parent present; Estimate; Grandchildren under 18 years living with a grandparent householder
HC03_MOE_VC01,With grandparent responsible  - Grandchildren with no parent present; Margin of Error; Grandchildren under 18 years living with a grandparent householder
HC01_EST_VC03,Total; Estimate; AGE - Under 6 years
HC01_MOE_VC03,Total; Margin of Error; AGE - Under 6 years
HC02_EST_VC03,With grandparent responsible  - Total; Estimate; AGE - Under 6 years
HC02_MOE_VC03,With grandparent responsible  - Total; Margin of Error; AGE - Under 6 years
HC03_EST_VC03,With grandparent responsible  - Grandchildren with no parent present; Estimate; AGE - Under 6 years
HC03_MOE_VC03,With grandparent responsible  - Grandchildren with no parent present; Margin of Error; AGE - Under 6 years
HC01_EST_VC04,Total; Estimate; AGE - 6 to 11 years
HC01_MOE_VC04,Total; Margin of Error; AGE - 6 to 11 years
HC02_EST_VC04,With grandparent responsible  - Total; Estimate; AGE - 6 to 11 years
HC02_MOE_VC04,With grandparent responsible  - Total; Margin of Error; AGE - 6 to 11 years
HC03_EST_VC04,With grandparent responsible  - Grandchildren with no parent present; Estimate; AGE - 6 to 11 years
HC03_MOE_VC04,With grandparent responsible  - Grandchildren with no parent present; Margin of Error; AGE - 6 to 11 years
HC01_EST_VC05,Total; Estimate; AGE - 12 to 17 years
HC01_MOE_VC05,Total; Margin of Error; AGE - 12 to 17 years
HC02_EST_VC05,With grandparent responsible  - Total; Estimate; AGE - 12 to 17 years
HC02_MOE_VC05,With grandparent responsible  - Total; Margin of Error; AGE - 12 to 17 years
HC03_EST_VC05,With grandparent responsible  - Grandchildren with no parent present; Estimate; AGE - 12 to 17 years
HC03_MOE_VC05,With grandparent responsible  - Grandchildren with no parent present; Margin of Error; AGE - 12 to 17 years
HC01_EST_VC08,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC01_MOE_VC08,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC02_EST_VC08,With grandparent responsible  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC02_MOE_VC08,With grandparent responsible  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC03_EST_VC08,With grandparent responsible  - Grandchildren with no parent present; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC03_MOE_VC08,With grandparent responsible  - Grandchildren with no parent present; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC01_EST_VC09,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC01_MOE_VC09,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC02_EST_VC09,With grandparent responsible  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC02_MOE_VC09,With grandparent responsible  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC03_EST_VC09,With grandparent responsible  - Grandchildren with no parent present; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC03_MOE_VC09,With grandparent responsible  - Grandchildren with no parent present; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC01_EST_VC10,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC01_MOE_VC10,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC02_EST_VC10,With grandparent responsible  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC02_MOE_VC10,With grandparent responsible  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC03_EST_VC10,With grandparent responsible  - Grandchildren with no parent present; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC03_MOE_VC10,With grandparent responsible  - Grandchildren with no parent present; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC01_EST_VC11,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC01_MOE_VC11,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC02_EST_VC11,With grandparent responsible  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC02_MOE_VC11,With grandparent responsible  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC03_EST_VC11,With grandparent responsible  - Grandchildren with no parent present; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC03_MOE_VC11,With grandparent responsible  - Grandchildren with no parent present; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC01_EST_VC12,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC01_MOE_VC12,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC02_EST_VC12,With grandparent responsible  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC02_MOE_VC12,With grandparent responsible  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC03_EST_VC12,With grandparent responsible  - Grandchildren with no parent present; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC03_MOE_VC12,With grandparent responsible  - Grandchildren with no parent present; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC01_EST_VC13,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC01_MOE_VC13,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC02_EST_VC13,With grandparent responsible  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC02_MOE_VC13,With grandparent responsible  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC03_EST_VC13,With grandparent responsible  - Grandchildren with no parent present; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC03_MOE_VC13,With grandparent responsible  - Grandchildren with no parent present; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC01_EST_VC14,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC01_MOE_VC14,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC02_EST_VC14,With grandparent responsible  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC02_MOE_VC14,With grandparent responsible  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC03_EST_VC14,With grandparent responsible  - Grandchildren with no parent present; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC03_MOE_VC14,With grandparent responsible  - Grandchildren with no parent present; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC01_EST_VC15,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_MOE_VC15,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC02_EST_VC15,With grandparent responsible  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC02_MOE_VC15,With grandparent responsible  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC03_EST_VC15,With grandparent responsible  - Grandchildren with no parent present; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC03_MOE_VC15,With grandparent responsible  - Grandchildren with no parent present; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_EST_VC17,Total; Estimate; Hispanic or Latino origin (of any race)
HC01_MOE_VC17,Total; Margin of Error; Hispanic or Latino origin (of any race)
HC02_EST_VC17,With grandparent responsible  - Total; Estimate; Hispanic or Latino origin (of any race)
HC02_MOE_VC17,With grandparent responsible  - Total; Margin of Error; Hispanic or Latino origin (of any race)
HC03_EST_VC17,With grandparent responsible  - Grandchildren with no parent present; Estimate; Hispanic or Latino origin (of any race)
HC03_MOE_VC17,With grandparent responsible  - Grandchildren with no parent present; Margin of Error; Hispanic or Latino origin (of any race)
HC01_EST_VC18,"Total; Estimate; White alone, not Hispanic or Latino"
HC01_MOE_VC18,"Total; Margin of Error; White alone, not Hispanic or Latino"
HC02_EST_VC18,"With grandparent responsible  - Total; Estimate; White alone, not Hispanic or Latino"
HC02_MOE_VC18,"With grandparent responsible  - Total; Margin of Error; White alone, not Hispanic or Latino"
HC03_EST_VC18,"With grandparent responsible  - Grandchildren with no parent present; Estimate; White alone, not Hispanic or Latino"
HC03_MOE_VC18,"With grandparent responsible  - Grandchildren with no parent present; Margin of Error; White alone, not Hispanic or Latino"
HC01_EST_VC21,Total; Estimate; NATIVITY - Native
HC01_MOE_VC21,Total; Margin of Error; NATIVITY - Native
HC02_EST_VC21,With grandparent responsible  - Total; Estimate; NATIVITY - Native
HC02_MOE_VC21,With grandparent responsible  - Total; Margin of Error; NATIVITY - Native
HC03_EST_VC21,With grandparent responsible  - Grandchildren with no parent present; Estimate; NATIVITY - Native
HC03_MOE_VC21,With grandparent responsible  - Grandchildren with no parent present; Margin of Error; NATIVITY - Native
HC01_EST_VC22,Total; Estimate; NATIVITY - Foreign born
HC01_MOE_VC22,Total; Margin of Error; NATIVITY - Foreign born
HC02_EST_VC22,With grandparent responsible  - Total; Estimate; NATIVITY - Foreign born
HC02_MOE_VC22,With grandparent responsible  - Total; Margin of Error; NATIVITY - Foreign born
HC03_EST_VC22,With grandparent responsible  - Grandchildren with no parent present; Estimate; NATIVITY - Foreign born
HC03_MOE_VC22,With grandparent responsible  - Grandchildren with no parent present; Margin of Error; NATIVITY - Foreign born
HC01_EST_VC26,Total; Estimate; DISABILITY STATUS - Civilian grandchildren under 18 years living with a grandparent householder
HC01_MOE_VC26,Total; Margin of Error; DISABILITY STATUS - Civilian grandchildren under 18 years living with a grandparent householder
HC02_EST_VC26,With grandparent responsible  - Total; Estimate; DISABILITY STATUS - Civilian grandchildren under 18 years living with a grandparent householder
HC02_MOE_VC26,With grandparent responsible  - Total; Margin of Error; DISABILITY STATUS - Civilian grandchildren under 18 years living with a grandparent householder
HC03_EST_VC26,With grandparent responsible  - Grandchildren with no parent present; Estimate; DISABILITY STATUS - Civilian grandchildren under 18 years living with a grandparent householder
HC03_MOE_VC26,With grandparent responsible  - Grandchildren with no parent present; Margin of Error; DISABILITY STATUS - Civilian grandchildren under 18 years living with a grandparent householder
HC01_EST_VC27,Total; Estimate; DISABILITY STATUS - With any disability
HC01_MOE_VC27,Total; Margin of Error; DISABILITY STATUS - With any disability
HC02_EST_VC27,With grandparent responsible  - Total; Estimate; DISABILITY STATUS - With any disability
HC02_MOE_VC27,With grandparent responsible  - Total; Margin of Error; DISABILITY STATUS - With any disability
HC03_EST_VC27,With grandparent responsible  - Grandchildren with no parent present; Estimate; DISABILITY STATUS - With any disability
HC03_MOE_VC27,With grandparent responsible  - Grandchildren with no parent present; Margin of Error; DISABILITY STATUS - With any disability
HC01_EST_VC30,Total; Estimate; MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) FOR FAMILIES WITH GRANDPARENT HOUSEHOLDERS AND/OR SPOUSES - Median income (dollars)
HC01_MOE_VC30,Total; Margin of Error; MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) FOR FAMILIES WITH GRANDPARENT HOUSEHOLDERS AND/OR SPOUSES - Median income (dollars)
HC02_EST_VC30,With grandparent responsible  - Total; Estimate; MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) FOR FAMILIES WITH GRANDPARENT HOUSEHOLDERS AND/OR SPOUSES - Median income (dollars)
HC02_MOE_VC30,With grandparent responsible  - Total; Margin of Error; MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) FOR FAMILIES WITH GRANDPARENT HOUSEHOLDERS AND/OR SPOUSES - Median income (dollars)
HC03_EST_VC30,With grandparent responsible  - Grandchildren with no parent present; Estimate; MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) FOR FAMILIES WITH GRANDPARENT HOUSEHOLDERS AND/OR SPOUSES - Median income (dollars)
HC03_MOE_VC30,With grandparent responsible  - Grandchildren with no parent present; Margin of Error; MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) FOR FAMILIES WITH GRANDPARENT HOUSEHOLDERS AND/OR SPOUSES - Median income (dollars)
HC01_EST_VC32,Total; Estimate; Grandchildren under 18 years living with a grandparent householder
HC01_MOE_VC32,Total; Margin of Error; Grandchildren under 18 years living with a grandparent householder
HC02_EST_VC32,With grandparent responsible  - Total; Estimate; Grandchildren under 18 years living with a grandparent householder
HC02_MOE_VC32,With grandparent responsible  - Total; Margin of Error; Grandchildren under 18 years living with a grandparent householder
HC03_EST_VC32,With grandparent responsible  - Grandchildren with no parent present; Estimate; Grandchildren under 18 years living with a grandparent householder
HC03_MOE_VC32,With grandparent responsible  - Grandchildren with no parent present; Margin of Error; Grandchildren under 18 years living with a grandparent householder
HC01_EST_VC34,"Total; Estimate; PUBLIC ASSISTANCE IN THE PAST 12 MONTHS - Grandchildren living in households with Supplemental Security Income (SSI), cash public assistance income, or Food Stamp/SNAP benefits"
HC01_MOE_VC34,"Total; Margin of Error; PUBLIC ASSISTANCE IN THE PAST 12 MONTHS - Grandchildren living in households with Supplemental Security Income (SSI), cash public assistance income, or Food Stamp/SNAP benefits"
HC02_EST_VC34,"With grandparent responsible  - Total; Estimate; PUBLIC ASSISTANCE IN THE PAST 12 MONTHS - Grandchildren living in households with Supplemental Security Income (SSI), cash public assistance income, or Food Stamp/SNAP benefits"
HC02_MOE_VC34,"With grandparent responsible  - Total; Margin of Error; PUBLIC ASSISTANCE IN THE PAST 12 MONTHS - Grandchildren living in households with Supplemental Security Income (SSI), cash public assistance income, or Food Stamp/SNAP benefits"
HC03_EST_VC34,"With grandparent responsible  - Grandchildren with no parent present; Estimate; PUBLIC ASSISTANCE IN THE PAST 12 MONTHS - Grandchildren living in households with Supplemental Security Income (SSI), cash public assistance income, or Food Stamp/SNAP benefits"
HC03_MOE_VC34,"With grandparent responsible  - Grandchildren with no parent present; Margin of Error; PUBLIC ASSISTANCE IN THE PAST 12 MONTHS - Grandchildren living in households with Supplemental Security Income (SSI), cash public assistance income, or Food Stamp/SNAP benefits"
HC01_EST_VC37,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Income in the past 12 months below poverty level
HC01_MOE_VC37,Total; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Income in the past 12 months below poverty level
HC02_EST_VC37,With grandparent responsible  - Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Income in the past 12 months below poverty level
HC02_MOE_VC37,With grandparent responsible  - Total; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Income in the past 12 months below poverty level
