GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
0500000US42097,42097,"Northumberland County, Pennsylvania",94528,94514,94326,94397,94444,93953,93709,93020,92479,92029
0500000US42099,42099,"Perry County, Pennsylvania",45969,45965,45980,45986,45877,45703,45695,45881,45986,46127
0500000US42101,42101,"Philadelphia County, Pennsylvania",1526006,1526006,1528271,1539649,1551944,1558109,1564042,1570507,1574765,1580863
0500000US42103,42103,"Pike County, Pennsylvania",57369,57353,57403,57120,56361,56188,55828,55535,55191,55691
0500000US42105,42105,"Potter County, Pennsylvania",17457,17458,17462,17455,17554,17437,17157,17030,16925,16802
0500000US42107,42107,"Schuylkill County, Pennsylvania",148289,148289,148267,147461,147023,146490,145157,143885,143335,142569
0500000US42109,42109,"Snyder County, Pennsylvania",39702,39709,39700,39773,39916,40227,40412,40745,40667,40801
0500000US42111,42111,"Somerset County, Pennsylvania",77742,77746,77781,77304,77051,76679,76292,75553,75070,74501
0500000US42113,42113,"Sullivan County, Pennsylvania",6428,6428,6404,6406,6396,6288,6258,6237,6089,6089
0500000US42115,42115,"Susquehanna County, Pennsylvania",43356,43352,43376,43272,42971,42459,42134,41763,41238,40985
0500000US42117,42117,"Tioga County, Pennsylvania",41981,41896,41972,42244,42478,42264,41932,41534,41227,40793
0500000US42119,42119,"Union County, Pennsylvania",44947,44949,44990,45084,45155,44743,44964,45536,45440,44595
0500000US42121,42121,"Venango County, Pennsylvania",54984,54983,54973,54683,54211,53840,53363,52966,52469,51762
0500000US42123,42123,"Warren County, Pennsylvania",41815,41815,41775,41502,41262,40982,40710,40374,39998,39659
0500000US42125,42125,"Washington County, Pennsylvania",207820,207848,207921,207968,208230,207992,207925,207747,207341,207298
0500000US42127,42127,"Wayne County, Pennsylvania",52822,52820,52815,52700,52204,52146,51987,51713,51230,51205
0500000US42129,42129,"Westmoreland County, Pennsylvania",365169,365164,365134,364494,362891,360804,358962,356995,354788,352627
0500000US42131,42131,"Wyoming County, Pennsylvania",28276,28269,28229,28297,28365,28101,28118,27761,27498,27322
0500000US42133,42133,"York County, Pennsylvania",434972,434998,435426,436702,437483,438926,440444,441822,443809,446078
